X1,Price,Lot.Size,Waterfront,Age,Land.Value,New.Construct,Central.Air,Fuel.Type,Heat.Type,Sewer.Type,Living.Area,Pct.College,Bedrooms,Fireplaces,Bathrooms,Rooms,Fireplace,Beds
40,245900,0.19,No,0,20700,No,Yes,Gas,Hot Air,None,2394,71,4,1,2.5,7,Yes,4 or more
41,157000,0.46,No,45,20200,No,No,Gas,Hot Air,Private,1390,71,3,1,1.5,6,Yes,3
42,195000,0.41,No,32,27100,No,Yes,Gas,Hot Air,Private,1954,71,4,None,2.5,8,No,4 or more
43,150000,0.78,No,54,24500,No,Yes,Oil,Hot Air,Private,1554,71,3,1,1.5,5,Yes,3
44,234900,0.89,No,9,41600,No,Yes,Gas,Hot Air,Public,1976,64,3,None,2.5,6,No,3
45,279550,1.34,No,0,44400,No,No,Gas,Hot Air,Private,2479,71,4,1,2.5,10,Yes,4 or more
46,246500,1.0,No,0,17100,No,No,Gas,Hot Air,None,2714,71,4,1,2.5,9,Yes,4 or more
47,124000,1.0,No,98,15500,No,No,Oil,Hot Air,Private,797,52,2,None,1.0,3,No,2 or fewer
48,138000,0.27,No,54,8900,No,No,Gas,Hot Water,Private,1500,71,3,None,2.5,7,No,3
49,290000,0.71,Yes,73,61000,No,No,Oil,Hot Air,Private,1838,71,4,None,2.0,8,No,4 or more
50,108000,0.9,No,48,19000,No,No,Gas,Hot Air,Private,1042,71,2,1,2.0,3,Yes,2 or fewer
51,134900,0.24,No,10,8000,No,Yes,Gas,Hot Air,Public,1782,52,3,None,2.5,6,No,3
52,64500,0.06,No,16,1600,No,No,Gas,Hot Air,Public,1480,52,2,1,2.5,5,Yes,2 or fewer
53,142000,0.55,No,20,13800,No,No,Gas,Hot Air,Private,1426,52,3,1,2.0,6,Yes,3
54,125000,0.34,No,32,11100,No,No,Gas,Hot Air,Private,1404,52,3,None,2.0,5,No,3
55,88000,0.19,No,15,3400,No,Yes,Gas,Hot Water,Public,1480,52,3,1,1.5,5,Yes,3
56,135000,0.23,No,135,8100,No,No,Gas,Hot Water,Public,1344,52,3,None,1.0,5,No,3
57,90000,0.07,No,14,1800,No,Yes,Gas,Hot Air,Public,1480,52,2,1,2.5,5,Yes,2 or fewer
58,90100,0.09,No,15,2400,No,No,Gas,Hot Water,Public,1480,52,3,1,1.5,7,Yes,3
59,126900,0.25,No,10,8400,No,No,Gas,Hot Air,Public,1596,52,3,None,2.5,6,No,3
60,175000,0.47,No,15,27200,No,No,Electric,Electric,Private,1768,52,3,1,2.0,5,Yes,3
61,158000,0.36,No,10,12100,No,Yes,Gas,Hot Air,Public,1348,52,2,1,2.0,3,Yes,2 or fewer
62,92000,0.07,No,14,1800,No,No,Gas,Hot Air,Public,1480,52,3,1,1.5,8,Yes,3
63,82800,0.11,No,225,3900,No,No,Gas,Hot Air,Public,1483,52,3,None,1.0,7,No,3
64,140000,0.23,No,25,8300,No,Yes,Gas,Hot Air,Public,1576,52,4,1,1.5,5,Yes,4 or more
65,171000,3.16,No,15,24100,No,No,Electric,Electric,Private,1008,52,2,None,1.0,7,No,2 or fewer
66,200640,0.08,No,0,32000,Yes,No,Gas,Hot Air,Public,2332,52,4,None,2.5,9,No,4 or more
67,139000,0.57,No,30,7500,No,No,Oil,Hot Air,Private,1064,52,3,1,1.0,5,Yes,3
68,225000,0.5,No,12,15300,No,Yes,Gas,Hot Air,Public,2428,52,4,1,2.5,11,Yes,4 or more
69,182000,1.0,No,16,26600,No,No,Electric,Electric,Private,1310,52,3,1,2.0,7,Yes,3
70,208767,0.5,No,0,32000,Yes,Yes,Gas,Hot Air,Public,1662,52,3,None,2.0,7,No,3
71,186000,0.55,No,0,4400,Yes,No,Gas,Hot Air,Public,2000,52,4,None,2.5,7,No,4 or more
72,93000,0.1,No,14,2600,No,No,Gas,Hot Air,Public,1480,52,3,1,1.5,6,Yes,3
73,257386,0.5,No,0,32000,Yes,Yes,Gas,Hot Air,Public,2969,52,4,1,4.0,10,Yes,4 or more
74,161000,0.31,No,10,10400,No,Yes,Gas,Hot Air,Public,1542,52,3,None,2.5,5,No,3
75,92000,0.28,No,18,6300,No,No,Oil,Hot Air,Private,1527,52,4,None,2.0,7,No,4 or more
76,211002,0.06,No,0,32000,Yes,No,Gas,Hot Air,Public,2195,52,4,None,2.5,8,No,4 or more
77,115000,0.06,No,14,1600,No,No,Gas,Hot Air,Public,1480,52,3,1,1.5,6,Yes,3
78,113000,0.46,No,53,9200,No,Yes,Oil,Hot Water,Private,1452,52,3,None,2.0,7,No,3
79,216300,0.1,No,0,32000,Yes,No,Gas,Hot Air,Public,2360,52,4,None,2.5,10,No,4 or more
80,145000,2.12,No,32,19000,No,No,Oil,Hot Air,Private,1440,52,3,1,1.0,8,Yes,3
81,114000,0.06,No,14,1600,No,No,Electric,Hot Air,Public,1480,52,2,1,2.5,5,Yes,2 or fewer
82,139050,0.21,No,125,7300,No,No,Gas,Hot Air,Public,1879,52,3,None,2.5,6,No,3
83,104000,0.06,No,14,1600,No,No,Gas,Hot Air,Public,1480,52,3,None,1.5,6,No,3
84,169900,0.26,No,11,8700,No,No,Gas,Hot Air,Public,1792,52,3,None,2.5,8,No,3
85,177900,0.29,No,2,25000,No,No,Gas,Hot Air,Private,1386,44,3,None,2.5,5,No,3
86,133000,1.29,No,14,10300,No,Yes,Electric,Hot Air,Private,1676,44,2,1,2.0,3,Yes,2 or fewer
87,185000,1.0,No,0,4000,No,No,Gas,Hot Air,Private,768,22,4,None,2.0,9,No,4 or more
88,115000,0.88,No,16,10000,No,Yes,Electric,Electric,Private,1560,22,3,1,1.5,8,Yes,3
89,100000,0.52,No,91,5000,No,No,Oil,Hot Air,Private,1000,22,3,None,1.0,6,No,3
90,117000,0.07,No,15,18900,No,No,Electric,Electric,Private,1676,51,4,1,1.5,9,Yes,4 or more
91,150000,0.32,No,11,19400,No,No,Electric,Electric,None,1656,51,3,None,1.5,6,No,3
92,187500,0.92,No,11,20600,No,No,Electric,Electric,Private,2300,51,3,1,1.5,7,Yes,3
93,107000,0.46,No,25,18700,No,No,Gas,Hot Air,Private,1712,51,3,1,1.0,6,Yes,3
94,126900,0.46,No,26,18700,No,No,Gas,Hot Air,Private,1350,51,3,None,1.5,5,No,3
95,147000,0.11,No,15,18900,No,No,Gas,Hot Air,Private,1676,51,3,1,2.5,6,Yes,3
96,62000,0.4,No,103,10500,No,No,Gas,Hot Water,Private,1317,51,3,None,1.5,7,No,3
97,101000,0.87,No,30,8700,No,No,Gas,Hot Air,Private,1056,51,3,1,2.0,8,Yes,3
98,143500,0.59,No,13,19900,No,No,Gas,Hot Air,Private,912,51,3,None,1.0,7,No,3
99,113400,0.93,No,18,4500,No,No,Electric,Electric,Private,1232,44,2,None,2.0,3,No,2 or fewer
100,76320,0.15,No,68,2000,No,No,Gas,Hot Air,Public,1380,44,3,1,1.0,5,Yes,3
101,110000,0.59,No,10,3100,No,Yes,Gas,Hot Air,Private,936,44,3,None,1.0,6,No,3
102,88000,0.33,No,49,3400,No,No,Gas,Hot Air,Private,720,44,3,None,1.0,4,No,3
103,108000,0.32,No,30,6500,No,No,Oil,Hot Water,Private,1628,44,2,1,1.5,4,Yes,2 or fewer
104,114900,0.46,No,41,5000,No,No,Gas,Hot Air,Private,1144,44,3,None,1.5,6,No,3
105,146000,0.48,No,2,3000,No,No,Gas,Hot Air,Private,1827,44,3,None,2.5,9,No,3
106,225000,2.37,No,8,3300,No,No,Oil,Hot Water,Private,1784,44,3,1,2.0,6,Yes,3
107,138000,0.83,No,16,3700,No,Yes,Gas,Hot Air,Private,1851,44,3,1,2.5,8,Yes,3
108,218070,1.0,No,0,3500,Yes,No,Gas,Hot Water,Private,2194,44,4,None,2.5,8,No,4 or more
109,25000,0.21,No,75,900,No,No,Oil,Hot Air,Private,920,44,2,None,1.0,6,No,2 or fewer
110,112000,0.27,No,36,3800,No,No,Gas,Hot Water,Public,1280,44,3,None,1.0,5,No,3
111,112500,0.72,No,43,4600,No,No,Electric,Electric,Private,1232,44,3,1,1.0,5,Yes,3
112,97000,0.36,No,45,3600,No,No,Gas,Hot Water,Private,1406,44,3,None,1.5,6,No,3
113,121000,0.52,No,6,2500,No,No,Gas,Hot Air,Private,1164,44,3,None,2.0,5,No,3
114,65720,0.19,No,123,2100,No,No,Gas,Hot Water,Public,1198,44,3,None,1.0,5,No,3
115,225000,0.38,No,10,6600,No,Yes,Gas,Hot Air,Private,2206,44,4,1,2.5,8,Yes,4 or more
116,192000,0.82,No,0,5000,Yes,Yes,Gas,Hot Air,Private,1880,44,3,1,2.5,9,Yes,3
117,158500,0.69,No,6,3400,No,No,Oil,Hot Air,Private,1368,44,3,None,1.5,8,No,3
118,247000,0.51,No,16,6000,No,Yes,Gas,Hot Air,Private,1901,44,3,1,2.5,5,Yes,3
119,193777,0.72,No,11,3200,No,No,Gas,Hot Air,Private,1547,44,3,None,2.0,8,No,3
120,136500,0.62,No,12,5400,No,No,Gas,Hot Air,Private,896,44,3,None,2.0,5,No,3
121,75000,1.0,No,45,8000,No,No,Gas,Hot Air,Private,1008,44,3,None,1.0,7,No,3
122,45000,0.52,No,75,3900,No,No,Gas,Hot Air,Private,912,44,2,None,1.0,4,No,2 or fewer
123,243000,0.82,No,12,3700,No,No,Gas,Hot Air,Private,2443,44,3,None,2.5,6,No,3
124,90000,0.29,No,83,3900,No,No,Gas,Hot Air,Public,900,44,4,None,1.0,7,No,4 or more
125,158000,0.52,No,0,4400,Yes,Yes,Gas,Hot Air,Private,2098,44,3,None,2.0,7,No,3
126,174000,0.64,No,9,3000,No,No,Gas,Hot Water,Private,2115,44,4,1,2.5,7,Yes,4 or more
127,150000,0.52,No,12,4500,No,No,Gas,Hot Air,Private,1344,44,2,1,2.0,7,Yes,2 or fewer
128,159650,1.0,No,3,5200,No,No,Gas,Hot Air,Private,1106,44,3,None,1.0,8,No,3
129,139062,0.69,No,33,6500,No,No,Gas,Hot Water,Private,1440,44,3,2 or more,2.0,6,Yes,3
130,84950,0.13,No,0,15000,Yes,No,Gas,Hot Air,Public,840,51,2,None,1.0,3,No,2 or fewer
131,102000,0.22,No,10,7300,No,No,Gas,Hot Air,Public,1170,51,2,None,1.0,6,No,2 or fewer
132,175000,0.46,No,15,23400,No,No,Oil,Hot Air,Private,1664,51,4,None,1.0,5,No,4 or more
133,78500,1.0,No,153,27300,No,No,Oil,Hot Air,Private,3024,51,4,None,1.0,12,No,4 or more
134,232478,1.0,No,0,15900,No,No,Gas,Hot Air,None,2598,51,4,1,2.5,9,Yes,4 or more
135,93805,0.13,No,0,15000,Yes,No,Gas,Hot Air,Public,840,51,2,None,1.5,7,No,2 or fewer
136,119900,1.03,No,63,41500,No,No,Oil,Hot Water,Private,1701,41,5,None,1.0,10,No,4 or more
137,146000,1.17,No,33,41800,No,No,Oil,Hot Air,Private,1456,41,3,1,1.5,6,Yes,3
138,125000,0.34,No,44,19000,No,No,Oil,Hot Air,Private,1224,71,3,None,1.0,4,No,3
139,135000,0.38,No,48,21300,No,No,Gas,Hot Air,Private,1411,71,3,1,1.0,5,Yes,3
140,157500,1.96,No,29,39700,No,No,Oil,Hot Air,Private,1608,71,3,1,1.5,5,Yes,3
141,135000,3.0,No,178,44500,No,No,Oil,Hot Water,Private,3020,41,4,None,2.5,12,No,4 or more
142,142900,0.33,No,32,22500,No,No,Gas,Hot Water,Public,1898,64,3,1,1.5,7,Yes,3
143,259900,0.46,No,1,36600,Yes,Yes,Gas,Hot Air,Public,2544,64,4,1,2.5,9,Yes,4 or more
144,85000,0.29,No,16,22100,No,No,Electric,Electric,Public,1038,64,2,None,1.0,7,No,2 or fewer
145,180377,0.35,No,1,37000,Yes,No,Gas,Hot Air,Public,1820,64,3,1,2.5,6,Yes,3
146,163500,0.28,No,21,28400,No,Yes,Electric,Electric,Public,2202,64,3,1,2.0,10,Yes,3
147,106500,0.52,No,53,20300,No,No,Oil,Hot Air,Private,2387,64,3,None,1.0,6,No,3
148,115000,0.11,No,16,20700,No,Yes,Electric,Electric,Public,1368,64,2,1,1.5,3,Yes,2 or fewer
149,115000,0.14,No,16,21000,No,Yes,Electric,Electric,Public,1480,64,2,1,2.0,5,Yes,2 or fewer
150,135000,0.14,No,15,19600,No,Yes,Electric,Electric,Public,1348,64,2,1,1.5,5,Yes,2 or fewer
151,198900,0.47,No,7,25500,No,Yes,Gas,Hot Air,Public,1889,64,4,1,2.5,8,Yes,4 or more
152,139000,0.14,No,16,19600,No,Yes,Electric,Electric,Public,1343,64,2,1,1.5,6,Yes,2 or fewer
153,206000,0.51,No,15,39600,No,Yes,Gas,Hot Air,Public,2011,64,3,1,2.5,7,Yes,3
154,120000,0.21,No,15,28800,No,Yes,Gas,Hot Air,Public,1180,64,2,1,1.5,3,Yes,2 or fewer
155,205980,0.14,No,1,45200,Yes,Yes,Gas,Hot Air,Public,1983,64,3,1,2.5,5,Yes,3
156,275000,0.55,No,14,72000,No,Yes,Gas,Hot Air,Public,2253,64,3,1,2.5,7,Yes,3
157,139000,0.07,No,12,24500,No,Yes,Gas,Hot Air,Public,1604,64,2,None,1.5,4,No,2 or fewer
158,89900,0.49,No,83,11900,No,No,Gas,Hot Air,Private,1196,45,3,None,1.0,6,No,3
159,139900,0.07,No,13,24500,No,Yes,Gas,Hot Air,Public,1602,64,2,None,2.5,7,No,2 or fewer
160,172750,0.36,No,1,37100,Yes,No,Gas,Hot Air,Public,1747,64,3,None,2.5,5,No,3
161,136000,0.5,No,37,19800,No,No,Oil,Hot Water,Private,1092,64,3,None,1.0,5,No,3
162,270000,0.48,No,10,37800,No,Yes,Gas,Hot Air,Public,2410,64,4,1,2.5,11,Yes,4 or more
163,174000,0.29,No,14,31100,No,Yes,Gas,Hot Air,Public,1933,64,3,1,2.5,6,Yes,3
164,379000,0.68,No,9,57200,No,Yes,Gas,Hot Air,Public,3080,64,4,1,2.5,12,Yes,4 or more
165,382500,4.08,No,13,75500,No,Yes,Oil,Hot Air,Private,4534,64,6,2 or more,2.5,12,Yes,4 or more
166,144900,0.1,No,14,26000,No,Yes,Gas,Hot Air,Public,1677,64,3,1,2.5,5,Yes,3
167,349900,0.62,No,7,57800,No,Yes,Gas,Hot Air,Public,2900,64,4,1,2.5,11,Yes,4 or more
168,133000,0.07,No,16,20300,No,Yes,Electric,Electric,Public,1392,64,2,1,1.5,5,Yes,2 or fewer
169,115000,0.16,No,15,22400,No,No,Gas,Hot Air,Public,1058,64,2,1,1.5,7,Yes,2 or fewer
170,211950,0.36,No,1,29200,Yes,Yes,Gas,Hot Air,Public,2342,64,4,1,2.5,8,Yes,4 or more
171,227812,0.01,No,0,37200,Yes,Yes,Gas,Hot Air,Public,2206,64,4,1,2.5,10,Yes,4 or more
172,164400,0.34,No,1,36200,Yes,Yes,Gas,Hot Air,Public,1516,64,3,1,2.0,5,Yes,3
173,340000,0.75,No,12,82500,No,Yes,Gas,Hot Air,Public,2836,64,4,1,2.5,10,Yes,4 or more
174,139900,0.29,No,15,35200,No,Yes,Gas,Hot Air,Public,1256,64,2,None,1.5,7,No,2 or fewer
175,279900,0.47,No,6,20000,No,Yes,Gas,Hot Air,Public,2340,64,4,1,3.5,10,Yes,4 or more
176,225000,0.32,No,0,53900,Yes,Yes,Gas,Hot Air,Public,2129,64,4,1,2.5,9,Yes,4 or more
177,144500,0.12,No,15,16800,No,Yes,Gas,Hot Air,Public,1343,64,2,1,2.5,4,Yes,2 or fewer
178,362710,1.0,No,0,24300,Yes,Yes,Gas,Hot Air,Private,2963,64,4,1,2.5,10,Yes,4 or more
179,247000,0.46,No,13,36600,No,Yes,Gas,Hot Air,Public,2114,64,4,1,3.5,8,Yes,4 or more
180,120000,0.18,No,16,21400,No,Yes,Electric,Electric,Public,1144,64,2,1,1.0,7,Yes,2 or fewer
181,136000,0.55,No,33,14900,No,No,Oil,Hot Air,Private,988,64,3,1,1.0,7,Yes,3
182,228500,0.46,No,9,45800,No,No,Gas,Hot Air,Public,1475,64,3,None,2.0,4,No,3
183,162800,0.15,No,10,28500,No,No,Gas,Hot Air,Public,1247,64,3,None,1.5,7,No,3
184,230000,0.93,No,48,23500,No,No,Gas,Hot Water,Private,1912,64,5,1,2.0,10,Yes,4 or more
185,115800,0.46,No,23,19700,No,No,Oil,Hot Air,Private,1440,64,3,None,1.5,5,No,3
186,175000,0.26,No,16,30100,No,Yes,Gas,Hot Air,Public,1596,64,3,1,2.0,6,Yes,3
187,263008,0.63,No,0,24400,Yes,Yes,Gas,Hot Air,Public,2665,64,4,1,2.5,11,Yes,4 or more
188,146000,0.5,No,35,28000,No,No,Gas,Hot Water,Private,1984,64,3,None,1.5,8,No,3
189,204900,0.03,No,10,35800,No,Yes,Gas,Hot Air,Public,1616,64,3,None,2.0,6,No,3
190,265000,0.17,No,9,40500,No,No,Gas,Hot Air,Public,1917,64,3,1,2.5,5,Yes,3
191,167500,0.64,No,37,16400,No,No,Oil,Hot Water,Private,2592,64,3,1,1.5,9,Yes,3
192,205000,0.47,No,6,25500,No,No,Gas,Hot Air,Public,1845,64,3,1,2.5,9,Yes,3
193,170000,0.92,No,53,29000,No,Yes,Oil,Hot Air,Private,1360,57,4,None,1.0,9,No,4 or more
194,176000,0.41,No,35,26200,No,Yes,Gas,Hot Air,Public,1664,64,3,1,1.5,6,Yes,3
195,132000,0.16,No,15,22400,No,Yes,Gas,Hot Air,Public,1098,64,2,1,1.5,3,Yes,2 or fewer
196,115500,0.01,No,17,9900,No,No,Electric,Electric,Public,1214,64,2,None,1.5,4,No,2 or fewer
197,150000,0.29,No,93,9200,No,No,Electric,Electric,Private,1046,57,3,None,1.0,6,No,3
198,120000,0.36,No,103,32200,No,No,Oil,Hot Air,Private,1144,64,3,None,1.0,8,No,3
199,125000,0.28,No,16,22000,No,Yes,Gas,Hot Air,Public,1140,64,2,1,2.0,6,Yes,2 or fewer
200,150000,0.15,No,14,21000,No,No,Gas,Hot Air,Public,1232,64,2,1,1.5,5,Yes,2 or fewer
201,362360,0.59,No,0,153800,Yes,Yes,Gas,Hot Air,Public,3020,64,4,1,2.5,9,Yes,4 or more
202,133500,0.36,No,19,27000,No,No,Gas,Hot Air,Public,1508,52,3,1,2.0,6,Yes,3
203,91000,0.16,No,19,15700,No,No,Electric,Electric,Public,912,52,2,1,1.5,5,Yes,2 or fewer
204,104000,0.34,No,18,27000,No,No,Electric,Electric,Public,1508,52,3,None,1.5,4,No,3
205,148000,0.33,No,17,27000,No,No,Gas,Hot Air,Public,1561,52,3,1,1.5,6,Yes,3
206,182000,0.56,No,30,26400,No,No,Gas,Hot Water,Public,2625,64,4,1,2.5,8,Yes,4 or more
207,152500,0.48,No,30,19600,No,No,Gas,Hot Water,Public,936,52,3,1,1.0,7,Yes,3
208,97000,0.16,No,19,15700,No,No,Electric,Electric,Public,912,52,2,None,1.5,3,No,2 or fewer
209,113000,0.17,No,16,15100,No,No,Electric,Electric,Public,1492,52,3,None,2.5,8,No,3
210,172000,0.46,No,30,26300,No,No,Gas,Hot Water,Public,1599,64,4,1,2.5,5,Yes,4 or more
211,179900,0.81,No,25,25000,No,No,Electric,Electric,Private,2304,52,5,1,2.5,9,Yes,4 or more
212,84000,0.15,No,19,15700,No,No,Electric,Electric,Public,912,52,2,None,1.5,7,No,2 or fewer
213,117900,0.15,No,17,15100,No,Yes,Gas,Hot Air,Public,1385,52,2,1,1.5,7,Yes,2 or fewer
214,177000,0.32,No,17,27000,No,No,Electric,Electric,Public,1561,52,4,None,1.5,8,No,4 or more
215,107500,0.16,No,20,15700,No,No,Gas,Hot Water,Public,884,52,2,None,2.0,3,No,2 or fewer
216,92500,0.15,No,18,15700,No,No,Electric,Electric,Public,912,52,2,None,2.0,4,No,2 or fewer
217,102900,0.15,No,17,15700,No,No,Gas,Electric,Public,912,52,2,None,1.5,3,No,2 or fewer
218,134800,0.48,No,73,20500,No,No,Oil,Hot Air,Private,1384,52,3,None,2.0,5,No,3
219,150000,0.77,No,7,30000,No,No,Gas,Hot Air,Public,1334,52,3,None,1.5,4,No,3
220,165000,0.42,No,10,26200,No,Yes,Gas,Hot Air,Private,1433,64,3,1,2.0,5,Yes,3
221,120000,0.17,No,16,15100,No,No,Electric,Electric,Public,1492,52,3,1,2.5,6,Yes,3
222,177500,0.32,No,16,27000,No,Yes,Gas,Hot Air,Public,1561,52,4,1,1.5,9,Yes,4 or more
223,300000,0.09,Yes,11,32000,No,No,Electric,Electric,Public,936,52,1,None,1.0,3,No,2 or fewer
224,123500,0.16,No,16,15100,No,No,Electric,Electric,Public,1492,52,3,1,2.5,8,Yes,3
225,141000,0.16,No,18,15100,No,No,Electric,Electric,Public,1853,52,3,None,2.5,7,No,3
226,105400,0.15,No,15,15100,No,No,Electric,Electric,Public,1240,52,2,None,1.5,7,No,2 or fewer
227,100600,0.17,No,19,15800,No,No,Electric,Electric,Public,912,52,2,None,1.5,6,No,2 or fewer
228,108900,0.17,No,19,15800,No,No,Gas,Hot Air,Public,912,52,2,None,1.5,3,No,2 or fewer
229,105500,0.16,No,19,15700,No,No,Gas,Hot Water,Public,912,52,2,None,1.5,6,No,2 or fewer
230,109900,0.16,No,19,15100,No,No,Gas,Hot Water,Public,1184,52,3,None,1.5,8,No,3
231,172700,0.34,No,18,27000,No,No,Electric,Electric,Public,1638,52,3,1,2.0,6,Yes,3
232,166500,0.31,No,16,27000,No,No,Electric,Electric,Public,1508,52,3,1,2.0,6,Yes,3
233,105000,0.4,No,50,18000,No,No,Electric,Electric,Public,672,52,2,None,1.0,5,No,2 or fewer
234,490000,0.34,Yes,18,79700,No,No,Oil,Hot Air,Public,1346,52,3,1,2.0,6,Yes,3
235,120000,0.16,No,18,15100,No,No,Electric,Electric,Public,1184,52,3,None,2.0,5,No,3
236,107500,0.15,No,16,15700,No,No,Gas,Hot Air,Public,912,52,2,None,1.5,4,No,2 or fewer
237,116600,0.15,No,18,15700,No,No,Electric,Electric,Public,912,52,2,1,1.5,5,Yes,2 or fewer
238,65000,0.16,No,19,15700,No,No,Gas,Hot Air,Public,988,52,2,None,2.0,4,No,2 or fewer
239,118000,0.16,No,19,15100,No,No,Gas,Hot Air,Public,1184,52,3,None,2.0,6,No,3
240,115900,0.15,No,16,15100,No,No,Electric,Electric,Public,1385,52,2,None,1.5,4,No,2 or fewer
241,100000,0.15,No,18,15700,No,No,Gas,Hot Water,Public,912,52,2,None,1.5,3,No,2 or fewer
242,171000,0.37,No,18,27000,No,Yes,Gas,Hot Air,Public,1548,52,3,1,2.0,5,Yes,3
243,188000,0.31,No,17,27000,No,No,Electric,Electric,Public,1561,52,4,None,1.5,9,No,4 or more
244,140000,1.0,No,24,21000,No,Yes,Gas,Hot Air,Private,1008,52,2,None,1.0,3,No,2 or fewer
245,124500,0.15,No,17,15200,No,No,Electric,Electric,Public,1385,52,2,None,1.5,4,No,2 or fewer
246,107200,0.16,No,19,15700,No,No,Gas,Hot Air,Public,908,52,2,None,1.0,6,No,2 or fewer
247,107500,0.24,No,138,1400,No,No,Oil,Hot Water,Public,2246,39,4,None,1.5,9,No,4 or more
248,180000,2.06,No,16,5900,No,No,Gas,Hot Air,Private,1820,39,3,1,2.5,5,Yes,3
249,214325,0.42,No,0,13000,Yes,Yes,Gas,Hot Air,Public,2554,64,4,1,2.5,9,Yes,4 or more
