"","case.id","sex","length","diameter","height","whole.weight","shucked.weight","viscera.weight","shell.weight","rings"
"1567",1568,"I",0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,8
"1523",1524,"M",0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
"3582",3583,"F",0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
"2577",2578,"I",0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
"2963",2964,"F",0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12
"2420",2421,"M",0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
"3609",3610,"F",0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9
"1174",1174,"M",0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
"764",764,"M",0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14
"3540",3541,"I",0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
"4054",4056,"F",0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
"3501",3502,"M",0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
"755",755,"M",0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
"3025",3026,"I",0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
"2890",2891,"M",0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8
"3763",3764,"I",0.53,0.41,0.15,0.612,0.2435,0.1525,0.1895,11
"2183",2184,"M",0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
"2837",2838,"F",0.58,0.445,0.135,0.95,0.484,0.182,0.2325,8
"1550",1551,"I",0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
"402",402,"M",0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9
"3693",3694,"M",0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,11
"1128",1128,"M",0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8
"2351",2352,"M",0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
"440",440,"M",0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13
"3344",3345,"I",0.495,0.38,0.145,0.515,0.175,0.098,0.212,13
"1265",1266,"I",0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
"3113",3114,"I",0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
"1064",1064,"I",0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
"869",869,"F",0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
"2054",2055,"M",0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
"1069",1069,"I",0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
"720",720,"I",0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
"2059",2060,"I",0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8
"2234",2235,"F",0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14
"513",513,"F",0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
"1018",1018,"F",0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
"2848",2849,"F",0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
"3812",3813,"F",0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12
"397",397,"F",0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10
"3989",3990,"F",0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
"3756",3757,"I",0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
"3243",3244,"F",0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
"1221",1221,"I",0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
"2572",2573,"I",0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
"3774",3775,"I",0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,9
"3958",3959,"F",0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,9
"4008",4010,"M",0.61,0.49,0.16,1.146,0.597,0.246,0.265,8
"1039",1039,"M",0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
"655",655,"F",0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
"1274",1275,"I",0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
"2017",2018,"M",0.505,0.395,0.135,0.5915,0.288,0.1315,0.185,12
"3651",3652,"I",0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10
"2019",2020,"I",0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
"3967",3968,"I",0.315,0.23,0.07,0.164,0.0625,0.04,0.045,6
"184",184,"F",0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
"1650",1651,"I",0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
"3370",3371,"M",0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12
"4102",4104,"M",0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10
"519",519,"M",0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
"1477",1478,"M",0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
"2490",2491,"M",0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
"1538",1539,"I",0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6
"2718",2719,"I",0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7
"2716",2717,"I",0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6
"2186",2187,"F",0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
"1692",1693,"F",0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
"1782",1783,"M",0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
"1206",1206,"M",0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
"2276",2277,"F",0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14
"3581",3582,"M",0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
"561",561,"F",0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
"1632",1633,"M",0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
"829",829,"I",0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
"1685",1686,"I",0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
"4152",4154,"I",0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8
"4123",4125,"I",0.5,0.385,0.12,0.516,0.197,0.1305,0.165,8
"3703",3704,"F",0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
"2991",2992,"M",0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8
"3661",3662,"I",0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10
"1847",1848,"I",0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
"2368",2369,"F",0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16
"1902",1903,"M",0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11
"427",427,"F",0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18
"971",971,"F",0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
"4101",4103,"M",0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
"1461",1462,"M",0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
"3924",3925,"F",0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20
"2052",2053,"M",0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8
"1242",1242,"I",0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
"1088",1088,"I",0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
"3081",3082,"F",0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,14
"2748",2749,"I",0.505,0.385,0.125,0.596,0.245,0.097,0.21,9
"646",646,"I",0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
"252",252,"M",0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
"2950",2951,"M",0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
"2424",2425,"M",0.26,0.2,0.065,0.096,0.044,0.027,0.03,6
"663",663,"F",0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
"243",243,"I",0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
"426",426,"M",0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
"1490",1491,"F",0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9
"661",661,"I",0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
"1166",1166,"F",0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
"750",750,"M",0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
"1003",1003,"F",0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
"707",707,"M",0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11
"1861",1862,"M",0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
"3003",3004,"F",0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,10
"109",109,"F",0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
"3973",3974,"I",0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
"4003",4005,"M",0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
"1452",1453,"I",0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
"187",187,"F",0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
"540",540,"F",0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
"1251",1251,"I",0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5
"4061",4063,"M",0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9
"514",514,"M",0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6
"860",860,"F",0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8
"880",880,"F",0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
"511",511,"I",0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10
"3965",3966,"I",0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6
"1270",1271,"I",0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
"1968",1969,"M",0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12
"2644",2645,"I",0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
"385",385,"M",0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10
"462",462,"F",0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12
"196",196,"M",0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
"3602",3603,"I",0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
"2611",2612,"M",0.63,0.48,0.165,1.286,0.604,0.271,0.35,8
"368",368,"F",0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
"1908",1909,"M",0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9
"1788",1789,"F",0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
"1453",1454,"I",0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
"3836",3837,"M",0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
"683",683,"F",0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
"3147",3148,"F",0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
"265",265,"M",0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
"1549",1550,"I",0.385,0.28,0.095,0.257,0.119,0.059,0.07,7
"546",546,"M",0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
"747",747,"F",0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17
"3251",3252,"I",0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
"2781",2782,"M",0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
"1032",1032,"M",0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9
"1911",1912,"M",0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
"321",321,"I",0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5
"1366",1367,"I",0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9
"3739",3740,"F",0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,9
"2409",2410,"F",0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
"2563",2564,"I",0.44,0.355,0.12,0.495,0.231,0.11,0.125,7
"1205",1205,"M",0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
"1564",1565,"I",0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
"3837",3838,"I",0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
"3293",3294,"M",0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13
"3672",3673,"F",0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10
"3127",3128,"F",0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9
"3010",3011,"I",0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,6
"1031",1031,"F",0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
"2932",2933,"M",0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
"3793",3794,"F",0.665,0.525,0.18,1.5785,0.678,0.229,0.456,14
"1129",1129,"F",0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
"1535",1536,"I",0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
"3121",3122,"F",0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7
"297",297,"I",0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
"1397",1398,"M",0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
"1700",1701,"M",0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
