"ID.number","Name","State","Public.Private","Average.math.SAT","Average.verbal.SAT","Average.combined.SAT","average.ACT","Number.of.applicants","Number.accepted","Number.enrolled","Pct.students.top.10.HS","Full.time.students","Part.time.students","In.state.tuition","Out.of.state.tuition","Pct.faculty.with.PhDs","Student.faculty.ratio","Graduation.rate","Acceptance.rate"
1258,"Pacific Union College","CA",2,NA,NA,NA,22,940,668,385,20,1316,139,11925,11925,48,12.3,69,71.063829787234
1262,"Point Loma Nazarene College","CA",2,472,425,897,21,809,687,428,20,1889,217,10176,10178,71,16.1,54,84.9196538936959
1264,"Pepperdine University","CA",2,585,514,1099,25,3821,2037,680,86,2488,625,18200,18200,95,11.6,66,53.3106516618686
1293,"Southern California College","CA",2,466,443,909,21,385,340,193,18,784,127,9520,9520,63,18.6,43,88.3116883116883
1302,"St. Mary's College of California","CA",2,549,483,1032,NA,2643,1611,465,36,2615,248,13332,13332,88,16.1,78,60.9534619750284
1305,"Stanford University","CA",2,736,665,1401,31,13608,2926,1616,88,6573,NA,18669,18669,NA,9.7,96,21.5020576131687
1312,"University of California at Berkeley","CA",1,654,564,1218,NA,19873,8252,3215,95,19532,2061,3949,11648,93,15.8,78,41.5236753383988
1313,"University of California at Davis","CA",1,585,485,1070,24,16343,11399,3124,95,15429,1888,NA,7699,NA,14.5,76,69.7485161842991
1314,"University of California at Irvine","CA",1,574,455,1029,NA,15698,10775,2478,85,12677,864,4325,12024,96,16.1,66,68.6393171104599
1315,"University of California at Los Angeles","CA",1,621,520,1141,NA,22165,10435,3591,93,21637,1255,NA,7689,97,11.8,77,47.078727723889
1316,"University of California at Riverside","CA",1,542,440,982,23,9798,7566,1470,80,6922,265,NA,7699,98,13.4,62,77.2198407838334
1317,"University of California at San Diego","CA",1,616,515,1131,26,19433,11469,2481,95,13738,711,NA,7699,100,13.9,66,59.0181649771008
1320,"University of California at Santa Barbara","CA",1,547,459,1006,NA,16663,14141,3239,90,15638,693,NA,11218,96,18.9,69,84.86467022745
1321,"University of California at Santa Cruz","CA",1,554,505,1059,NA,10758,8559,1717,94,8713,607,NA,7699,94,21.3,59,79.5593976575572
1322,"University of Redlands","CA",2,NA,NA,NA,NA,1498,1219,306,26,1369,1587,16530,16530,81,8.9,73,81.3751668891856
1325,"University of San Francisco","CA",2,514,463,977,21,2306,1721,538,23,4309,549,13226,13226,86,13.6,62,74.6313963573287
1326,"Santa Clara University","CA",2,NA,NA,NA,NA,4019,2779,888,40,3891,128,13584,13584,88,13.9,100,69.1465538691217
1328,"University of Southern California","CA",2,592,498,1090,25,12229,8498,2477,45,13259,1429,17230,17230,90,11.4,68,69.4905552375501
1329,"University of the Pacific","CA",2,531,444,975,NA,2459,1997,582,36,2664,299,16320,16320,87,11.2,65,81.2118747458316
1341,"Westmont College","CA",1,550,501,1051,24,950,713,351,42,1276,9,14320,14320,77,14.9,87,75.0526315789474
1342,"Whittier College","CA",2,507,454,961,NA,1681,1069,344,35,1235,30,16249,16249,84,13.6,52,63.5930993456276
1343,"Woodbury University","CA",2,441,381,822,20,349,313,111,NA,765,191,13020,13020,28,13.5,54,89.6848137535817
2741,"University of Judaism","CA",2,551,489,1040,NA,52,36,18,NA,88,12,10560,10560,100,7.2,55,69.2307692307692
3948,"San Francisco Art Institute","CA",2,NA,NA,NA,NA,177,136,41,NA,438,103,14500,14500,NA,14.4,30,76.8361581920904
7993,"California State Univ. at Bakersfield","CA",1,450,392,842,21,941,643,415,NA,2571,1263,1204,8725,82,13.4,24,68.3315621679065
10395,"University of San Diego","CA",2,548,490,1038,NA,3934,2735,886,40,3698,217,13600,13600,93,15.6,66,69.5221148957804
10448,"Thomas Aquinas College","CA",2,589,583,1172,NA,125,87,67,22,208,NA,13400,13400,68,10.9,71,69.6
11649,"Loyola Marymount University","CA",2,549,485,1034,NA,3768,2662,753,42,3558,436,13592,13592,84,14.2,84,70.6475583864119
29059,"Concordia University","CA",2,485,420,905,22,688,497,144,30,641,101,10800,10800,55,13.1,55,72.2383720930232
1345,"Adams State College","CO",1,NA,NA,NA,21,1508,1259,569,16,1922,232,1386,1672,63,27.9,60,83.4880636604775
1347,"Colorado College","CO",2,NA,NA,NA,NA,3207,1577,490,56,1892,7,17142,17142,85,11.3,84,49.1736825693795
1349,"University of Northern Colorado","CO",1,480,440,920,22,5530,4007,1697,12,8463,1498,1829,7731,75,21.5,40,72.4593128390597
1350,"Colorado State University","CO",1,545,479,1024,25,9478,6312,2194,29,15646,1829,2124,8412,87,19.2,59,66.5963283393121
1353,"Fort Lewis College","CO",1,NA,NA,NA,NA,3440,2823,1123,16,3793,486,1450,6198,89,19.1,46,82.0639534883721
1358,"Mesa State College","CO",1,451,400,851,20,1584,1456,891,6,3471,911,1434,5016,48,28.8,59,91.9191919191919
1360,"Metropolitan State College","CO",1,448,407,855,20,3512,2975,1662,6,9544,8177,1494,5790,75,21.1,25,84.7095671981777
1363,"Regis University","CO",2,487,442,929,22,1107,904,308,NA,1142,27,12700,12700,90,14.8,53,81.6621499548329
1365,"University of Southern Colorado","CO",1,480,428,908,20,1401,1239,605,10,3716,675,1644,7100,63,19.4,36,88.4368308351178
1369,"United States Air Force Academy","CO",1,NA,NA,NA,NA,9557,1605,1160,72,4236,NA,NA,NA,40,8.2,88,16.7939730040808
1370,"University of Colorado at Boulder","CO",1,NA,NA,NA,NA,14063,9320,3436,28,18465,1541,2230,12563,90,19.9,66,66.2731991751404
1371,"University of Denver","CO",2,540,470,1010,24,2974,2001,580,29,2666,554,15192,15192,84,15.9,67,67.2831203765972
1372,"Western State College of Colorado","CO",1,470,420,890,21,2702,1623,604,7,2315,146,1819,5918,76,19.4,52,60.0666173205033
4509,"University of Colorado at Colorado Springs","CO",1,NA,NA,NA,NA,826,620,318,12,2570,1569,2475,8090,93,15,NA,75.0605326876513
6740,"University of Colorado at Denver","CO",1,529,478,1007,23,1199,562,261,30,3805,2728,1828,9244,89,18.1,24,46.8723936613845
9401,"Colorado Christian University","CO",2,445,422,867,21,735,583,310,9,1001,65,6720,6720,56,8.6,NA,79.3197278911565
1374,"Albertus Magnus College","CT",2,460,430,890,23,353,340,103,17,416,230,13290,13290,90,11.5,63,96.3172804532578
1378,"Central Connecticut State University","CT",1,457,414,871,NA,4158,2532,902,6,6394,3881,1842,5962,69,16.7,49,60.8946608946609
1379,"Connecticut College","CT",2,NA,NA,NA,NA,3035,1546,438,42,1630,232,18740,18740,86,10.7,91,50.9390444810544
1380,"Western Connecticut State University","CT",1,NA,NA,NA,NA,2486,1503,528,7,2818,1861,1842,5962,69,15.5,NA,60.4585679806919
1385,"Fairfield University","CT",2,560,498,1058,25,4784,3346,781,30,2984,1037,15000,15000,86,15.1,94,69.9414715719064
1397,"University of New Haven","CT",2,495,434,929,NA,1651,1412,336,NA,1411,1914,10600,10600,79,15.6,79,85.5239248940036
1401,"Teikyo Post University","CT",2,NA,NA,NA,NA,345,297,92,13,570,1273,11300,11300,30,12.2,NA,86.0869565217391
1402,"Quinnipiac College","CT",2,NA,NA,NA,NA,3712,2153,806,17,2677,714,12030,12030,63,12,86,58.0010775862069
1403,"Sacred Heart University","CT",2,480,420,900,NA,2307,1896,509,19,1707,1889,11070,11070,71,14.8,82,82.184655396619
1406,"Southern Connecticut State University","CT",1,430,400,830,NA,3852,2652,1044,4,5892,2478,1842,5962,62,15.8,45,68.8473520249221
1409,"Saint Joseph College","CT",2,NA,NA,NA,NA,292,241,96,20,543,712,12200,12200,87,11.2,76,82.5342465753425
1414,"Trinity College","CT",2,NA,NA,NA,NA,3058,1798,478,46,1737,244,18810,18810,91,10.4,91,58.7965990843689
1415,"United States Coast Guard Academy","CT",1,644,542,1186,NA,5099,466,277,72,930,NA,NA,NA,31,8.3,71,9.13904687193567
1416,"University of Bridgeport","CT",2,489,422,911,NA,598,441,153,16,527,312,12500,12500,76,7.9,51,73.7458193979933
1422,"University of Hartford","CT",2,506,457,963,NA,5081,4040,1194,11,3768,1415,14220,14220,61,10.7,66,79.5119071049006
1424,"Wesleyan University","CT",2,660,620,1280,29,4772,1973,712,60,2714,27,19130,19130,90,12.1,92,41.3453478625314
1425,"Eastern Connecticut State University","CT",1,444,411,855,NA,2172,1493,564,14,2766,1531,1842,5962,71,16.9,50,68.7384898710866
1426,"Yale University","CT",2,NA,NA,NA,NA,10705,2453,1317,95,5217,83,19840,19840,96,5.8,99,22.9145259224661
29013,"University of Connecticut at Storrs","CT",1,551,481,1032,NA,9735,7187,2064,23,12478,1660,3824,11656,89,16,71,73.8263995891115
1434,"American University","DC",2,583,550,1133,NA,4613,3587,1048,35,4545,873,15934,15934,NA,13.6,69,77.7585085627574
1437,"Catholic University of America","DC",2,NA,NA,NA,NA,1754,1465,505,24,2159,211,13712,13712,90,9.3,75,83.5233751425313
1443,"Gallaudet University","DC",2,NA,NA,NA,NA,825,645,392,NA,1541,221,4700,4700,58,6.6,NA,78.1818181818182
1444,"George Washington University","DC",2,NA,NA,NA,NA,7875,5062,1492,38,5471,1470,17450,17450,92,7.6,72,64.2793650793651
1445,"Georgetown University","DC",2,NA,NA,NA,NA,11115,2881,1390,71,5881,406,18300,18300,91,7.2,95,25.9199280251912
1448,"Howard University","DC",2,457,426,883,20,9776,3164,1666,NA,6705,874,7128,7128,78,7.5,46,32.3649754500818
1452,"Mount Vernon College","DC",2,440,402,842,20,149,70,61,15,203,138,13780,13780,84,5.7,NA,46.9798657718121
1460,"Trinity College","DC",2,470,480,950,22,247,189,100,19,309,639,11412,11412,89,8.3,96,76.5182186234818
29100,"Univ. of the District of Columbia","DC",1,NA,NA,NA,NA,3895,3866,1717,NA,3658,6327,974,3566,51,11.7,NA,99.2554557124519
1428,"Delaware State College","DE",1,NA,NA,NA,NA,2611,1845,764,NA,NA,NA,4878,4878,60,13.7,26,70.662581386442
1429,"Goldey Beacom College","DE",2,486,425,911,NA,633,468,284,10,823,963,6120,6120,25,27.6,36,73.9336492890995
1431,"University of Delaware","DE",2,NA,NA,1035,NA,14446,10516,3252,22,14130,4522,3690,10220,82,18.3,75,72.7952374359684
1433,"Wesley College","DE",2,413,387,800,NA,980,807,350,10,872,448,9890,9890,52,14.4,84,82.3469387755102
7948,"Wilmington College","DE",2,NA,NA,NA,NA,1275,1275,635,NA,615,1047,5340,5340,46,12.5,56,100
1466,"Barry University","FL",2,470,430,900,20,990,784,279,18,1811,3144,11290,11290,76,12.6,72,79.1919191919192
1467,"Bethune Cookman College","FL",2,408,367,775,16,1646,1150,542,12,2128,82,5188,5188,48,13.8,58,69.8663426488457
1468,"St. Thomas University","FL",2,440,390,830,19,492,370,236,10,1125,482,9600,9600,NA,23.2,33,75.2032520325203
1469,"Florida Institute of Technology","FL",2,596,500,1096,NA,1947,1580,523,39,1863,233,13900,13900,90,10.6,57,81.150487930149
1473,"Clearwater Christian College","FL",2,442,433,875,22,161,156,101,NA,409,43,5200,5200,55,15.1,NA,96.8944099378882
1479,"Embry Riddle Aeronautical University","FL",2,544,461,994,25,3151,2584,958,14,4772,856,7800,7800,37,16.5,44,82.005712472231
1480,"Florida A&M University","FL",1,NA,NA,NA,NA,4880,2899,1463,NA,7931,1357,1749,6651,87,11.8,NA,59.405737704918
1481,"Florida Atlantic University","FL",1,528,462,990,22,3181,2089,826,NA,6035,6414,1800,6700,90,15.6,48,65.6711725872367
1486,"Florida Memorial College","FL",2,NA,NA,NA,NA,2400,1800,557,NA,1312,176,4160,4160,38,17.1,35,75
1487,"Eckerd College","FL",2,559,517,1076,25,1422,1109,366,33,1363,23,15360,15360,82,12.8,59,77.9887482419128
1488,"Florida Southern College","FL",2,505,478,912,23,1381,1040,374,20,1506,970,8025,8025,65,17.4,68,75.3077480086894
1489,"Florida State University","FL",1,NA,NA,NA,NA,11651,8683,3023,50,18906,3242,1780,6680,80,23.1,58,74.5257917775298
1495,"Jacksonville University","FL",2,NA,NA,NA,NA,1344,1008,305,16,1556,517,9600,9600,61,12.1,NA,75
1505,"Lynn University","FL",2,450,440,890,21,1292,956,315,NA,1250,200,13900,13900,69,19,65,73.9938080495356
1509,"Nova Southeastern University","FL",2,477,428,905,NA,1025,770,257,NA,1893,1220,8550,8550,90,20.4,23,75.1219512195122
1515,"Rollins College","FL",2,557,502,1059,25,1777,1151,382,31,1668,1052,16425,16425,81,13.3,90,64.7720877884074
1526,"St. Leo College","FL",2,446,407,853,21,990,683,201,NA,3400,3731,9150,9150,47,72.4,NA,68.989898989899
1531,"Stetson University","FL",2,NA,NA,NA,NA,1557,1227,489,37,1964,81,12315,12315,85,12.5,73,78.8053949903661
1535,"University of Florida","FL",1,NA,NA,NA,NA,12445,8836,3623,54,24470,3286,1820,7090,88,13.4,66,71.0004017677782
1536,"University of Miami","FL",2,NA,NA,NA,NA,7122,5386,1643,42,7760,876,16500,16500,82,5.9,59,75.6248244875035
1537,"University of South Florida","FL",1,553,492,1045,23,7589,4676,1876,29,14770,10962,1856,6760,84,17,47,61.6154961127948
1538,"University of Tampa","FL",2,NA,NA,NA,NA,1675,1190,325,NA,1812,374,11690,11690,NA,13.9,NA,71.044776119403
1540,"Webber College","FL",2,370,437,807,20,280,143,79,5,327,110,5590,5590,53,15.1,90,51.0714285714286
3954,"University of Central Florida","FL",1,533,464,997,23,6986,2959,1918,25,12330,7152,1716,6618,80,22.2,46,42.3561408531348
3955,"University of West Florida","FL",1,496,452,948,22,1558,1254,472,20,3754,2477,1597,6172,83,23.4,53,80.4878048780488
7893,"Flagler College","FL",2,513,476,989,23,1415,714,338,18,1345,44,5120,5120,52,18.1,69,50.4593639575972
8848,"Warner Southern College","FL",2,403,359,762,17,400,280,134,NA,397,62,6200,6200,53,14.4,42,70
8849,"Palm Beach Atlantic College","FL",2,496,451,947,21,729,625,349,NA,1432,334,7900,7900,NA,19,38,85.7338820301783
9635,"Florida International University","FL",1,543,476,1019,23,3306,2079,1071,42,10208,9310,1695,6597,81,13.9,66,62.8856624319419
9841,"University of North Florida","FL",1,533,484,1017,22,1800,1253,560,44,3876,3588,1732,6634,82,17.8,47,69.6111111111111
1542,"Agnes Scott College","GA",2,NA,NA,NA,NA,417,349,137,60,510,63,12960,12960,92,7.7,59,83.6930455635492
1544,"Albany State College","GA",1,NA,NA,NA,NA,1461,1097,580,10,2035,321,1772,4535,65,17,62,75.0855578370979
1546,"Armstrong State College","GA",1,471,436,907,NA,2186,1835,1263,NA,2796,2391,2028,5604,45,10.5,88,83.9432753888381
1551,"Clark Atlanta University","GA",2,404,400,804,19,4502,2497,790,NA,2844,88,7908,7908,63,14.9,53,55.4642381163927
1552,"Augusta College","GA",1,439,398,837,NA,1452,1158,870,NA,2902,1825,1422,4266,65,18.9,38,79.7520661157025
1554,"Berry College","GA",2,NA,NA,NA,NA,1858,1221,480,37,1620,49,8050,8050,80,16.3,63,65.7158234660926
1556,"Brenau University","GA",2,459,471,930,NA,367,274,158,12,917,479,9592,9592,71,13.7,49,74.6594005449591
1557,"Brewton-Parker College","GA",2,393,373,766,NA,1436,1228,1202,10,1320,822,4371,4371,62,12.6,18,85.5153203342618
1561,"Columbus College","GA",1,470,420,890,NA,1348,1050,774,NA,2873,1736,1381,2763,61,16.5,32,77.893175074184
1564,"Emory University","GA",2,650,570,1220,28,8506,4168,1236,76,5544,192,17600,17600,97,5,96,49.0007053844345
1566,"Fort Valley State College","GA",1,NA,NA,NA,NA,2092,1474,649,NA,1903,221,1341,2682,59,13.9,39,70.4588910133843
1569,"Georgia Institute of Technology","GA",1,NA,NA,NA,NA,7837,4527,2276,89,8528,654,1899,6489,92,19.3,70,57.7644506826592
